Function,Core Position Cluster,Core Position Cluster Definition,Core Position,Core Position Main Objective,Skill,Skill Definition,Functional / Soft Skill,Required Proficiency Level,Proficiency Value,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Clinical Scientist (Medical Director),"Supporting the execution of clinical development programs by providing scientific expertise and ensuring the integrity of clinical data. This position involves collaborating with cross-functional teams to design, implement, and analyze clinical trials, contributing to the development of innovative medicines while adhering to regulatory and ethical standards within the framework of the company's strategic objectives.",Strategic Thinking,"Ability to analyze complex situations considering various factors, anticipate future trends, and develop long-term plans that align with an organization's goals and objectives. ",Soft Skill,Advanced,4,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",Drug Development Experience,"Experience in developing strategy and execution of clinical trials for new drugs or therapies in human subjects from early to late stage. Includes evaluate the safety, efficacy, and overall effectiveness of a medication prior to approved for public use.",Functional Skill,Expert,5,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",Desease knowledge,"Understanding of Desease mechanism and therapeutic area (in the fields of e.g. Oncology, N&I, CM&E,  Fertility etc.) ",Functional Skill,Expert,5,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",Clinical Assessment,"Ability to do independent clinical analysis and assessments for Business development cases, new molecules, new products, data and to derive maningful conclusions regarding the viability and strategic direction of new products within the pharmaceutical industry.",Functional Skill,Expert,5,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",Matrix Leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Expert,5,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Soft Skill,Expert,5,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",External relationship management,"Establishing, maintaining and utilizing professional relationships with external networks, including Key Thought Leaders (KTLs) and regulatory authorities for collaboration.


",Soft Skill,Advanced,4,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",Scientific Data Communication Proficiency,"Ability to effectively convey complex scientific and clinical data to various stakeholders, while also analyzing and interpreting that data to inform decision-making and strategy within clinical development processes.


",Soft Skill,Expert,5,,
CDC Japan,Clinical Development Japan,"Drive the execution of early to late-stage clinical development programs aligned with the global development strategy, ensuring the ethical and scientific integrity of product development activities. ",Head of Clinical Development,"Driving the global development strategy and execution of early to late-stage development programs across the company portfolio to bring innovative medicines to patients in Japan. To provide and ensure ethical and scientific contributions to product development activities in Japan. Contribute as a member of local R&D LT to deliver on “Biopharma Japan 5 Year Strategy” to ensure its growth as a specialty care innovator in Japan through working collaboratively with other functions.

 
 ",Strategic Thinking,"Ability to analyze complex situations considering various factors, anticipate future trends, and develop long-term plans that align with an organization's goals and objectives. ",Soft Skill,Expert,5,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Clinical Governance Operations Specialist,"Oversees and manages daily operations of an assigned Clinical Governance Operations decision boards (i.e., PPG, iRPC or iMSG), ensuring efficient processes and adherence to regulatory and compliance standards. Serve as administrator for internal EVA pages, clinical governance operations software tools (e.g., STARTone, GovCast) and subject matter expert for all processes, guidelines, and technical specifications associated with the assigned governance boards or workflows. Takes on responsibility as governance Secretary or Moderator under guidance by experienced Clinical Governance Operations manager.",Governance,"Design, own and execute effective R&D governance processes enabling strategic and tactical decision making in compliance with guidelines and regulations in the Healthcare industry.",Functional Skill,Intermediate,2,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Clinical Governance Operations Specialist,"Oversees and manages daily operations of an assigned Clinical Governance Operations decision boards (i.e., PPG, iRPC or iMSG), ensuring efficient processes and adherence to regulatory and compliance standards. Serve as administrator for internal EVA pages, clinical governance operations software tools (e.g., STARTone, GovCast) and subject matter expert for all processes, guidelines, and technical specifications associated with the assigned governance boards or workflows. Takes on responsibility as governance Secretary or Moderator under guidance by experienced Clinical Governance Operations manager.",Drug Development,"In-depths understanding of clinical development strategies, process requirements, milestones and tactics, as well as planning & execution of clinical trials across all stages of the R&D value chain. Solid business acumen.",Functional Skill,Intermediate,2,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Clinical Governance Operations Specialist,"Oversees and manages daily operations of an assigned Clinical Governance Operations decision boards (i.e., PPG, iRPC or iMSG), ensuring efficient processes and adherence to regulatory and compliance standards. Serve as administrator for internal EVA pages, clinical governance operations software tools (e.g., STARTone, GovCast) and subject matter expert for all processes, guidelines, and technical specifications associated with the assigned governance boards or workflows. Takes on responsibility as governance Secretary or Moderator under guidance by experienced Clinical Governance Operations manager.",Disease biology,"Understanding of disease mechanisms and therapeutic area knowledge in the fields of Oncology, N&I, CM&E , Fertility, rare diseases",Functional Skill,Intermediate,2,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Clinical Governance Operations Specialist,"Oversees and manages daily operations of an assigned Clinical Governance Operations decision boards (i.e., PPG, iRPC or iMSG), ensuring efficient processes and adherence to regulatory and compliance standards. Serve as administrator for internal EVA pages, clinical governance operations software tools (e.g., STARTone, GovCast) and subject matter expert for all processes, guidelines, and technical specifications associated with the assigned governance boards or workflows. Takes on responsibility as governance Secretary or Moderator under guidance by experienced Clinical Governance Operations manager.",Project Management,"Ability to efficiently drive non-drug portfolio projects using PM methodology & tools. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Proficient,3,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Clinical Governance Operations Specialist,"Oversees and manages daily operations of an assigned Clinical Governance Operations decision boards (i.e., PPG, iRPC or iMSG), ensuring efficient processes and adherence to regulatory and compliance standards. Serve as administrator for internal EVA pages, clinical governance operations software tools (e.g., STARTone, GovCast) and subject matter expert for all processes, guidelines, and technical specifications associated with the assigned governance boards or workflows. Takes on responsibility as governance Secretary or Moderator under guidance by experienced Clinical Governance Operations manager.",Communication,"Build seamless partnerships across R&D through effectively communicating and engaging with stakeholders, across all levels aiming to share information, gather feedback, and maintain positive relationships to achieve common goals and outcomes. Create and deliver effective presentations, driving cohesive decision-making and fostering trust-based collaboration both internally and externally.",Soft Skill,Proficient,3,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Clinical Governance Operations Specialist,"Oversees and manages daily operations of an assigned Clinical Governance Operations decision boards (i.e., PPG, iRPC or iMSG), ensuring efficient processes and adherence to regulatory and compliance standards. Serve as administrator for internal EVA pages, clinical governance operations software tools (e.g., STARTone, GovCast) and subject matter expert for all processes, guidelines, and technical specifications associated with the assigned governance boards or workflows. Takes on responsibility as governance Secretary or Moderator under guidance by experienced Clinical Governance Operations manager.",Leadership,"Ability to guide, motivate, and influence others to achieve common goals. Effective leadership involves setting a clear vision, inspiring and empowering team members, making informed decisions, and fostering a collaborative and productive work environment",Soft Skill,Intermediate,2,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Clinical Governance Operations Specialist,"Oversees and manages daily operations of an assigned Clinical Governance Operations decision boards (i.e., PPG, iRPC or iMSG), ensuring efficient processes and adherence to regulatory and compliance standards. Serve as administrator for internal EVA pages, clinical governance operations software tools (e.g., STARTone, GovCast) and subject matter expert for all processes, guidelines, and technical specifications associated with the assigned governance boards or workflows. Takes on responsibility as governance Secretary or Moderator under guidance by experienced Clinical Governance Operations manager.",Analytical Skills,"Analytical skills refer to the ability to collect, interpret, analyze, and evaluate data and information to understand complex problems, identify patterns, draw conclusions, and make informed decisions. ",Soft Skill,Proficient,3,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Senior Clinical Governance Operations Manager,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Governance,"Design, own and execute effective R&D governance processes enabling strategic and tactical decision making in compliance with guidelines and regulations in the Healthcare industry.",Functional Skill,Proficient,3,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Senior Clinical Governance Operations Manager,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Drug Development,"In-depths understanding of clinical development strategies, process requirements, milestones and tactics, as well as planning & execution of clinical trials across all stages of the R&D value chain. Solid business acumen.",Functional Skill,Proficient,3,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Senior Clinical Governance Operations Manager,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Disease biology,"Understanding of disease mechanisms and therapeutic area knowledge in the fields of Oncology, N&I, CM&E , Fertility, rare diseases",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Senior Clinical Governance Operations Manager,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Project Management,"Ability to efficiently drive non-drug portfolio projects using PM methodology & tools. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Senior Clinical Governance Operations Manager,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Communication,"Build seamless partnerships across R&D through effectively communicating and engaging with stakeholders, across all levels aiming to share information, gather feedback, and maintain positive relationships to achieve common goals and outcomes. Create and deliver effective presentations, driving cohesive decision-making and fostering trust-based collaboration both internally and externally.",Soft Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Senior Clinical Governance Operations Manager,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Leadership,"Ability to guide, motivate, and influence others to achieve common goals. Effective leadership involves setting a clear vision, inspiring and empowering team members, making informed decisions, and fostering a collaborative and productive work environment",Soft Skill,Proficient,3,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Senior Clinical Governance Operations Manager,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Analytical Skills,"Analytical skills refer to the ability to collect, interpret, analyze, and evaluate data and information to understand complex problems, identify patterns, draw conclusions, and make informed decisions. ",Soft Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Associate Director Clinical Governance Operations,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Governance,"Design, own and execute effective R&D governance processes enabling strategic and tactical decision making in compliance with guidelines and regulations in the Healthcare industry.",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Associate Director Clinical Governance Operations,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Drug Development,"In-depths understanding of clinical development strategies, process requirements, milestones and tactics, as well as planning & execution of clinical trials across all stages of the R&D value chain. Solid business acumen.",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Associate Director Clinical Governance Operations,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Disease biology,"Understanding of disease mechanisms and therapeutic area knowledge in the fields of Oncology, N&I, CM&E , Fertility, rare diseases",Functional Skill,Expert,5,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Associate Director Clinical Governance Operations,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Project Management,"Ability to efficiently drive non-drug portfolio projects using PM methodology & tools. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Expert,5,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Associate Director Clinical Governance Operations,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Communication,"Build seamless partnerships across R&D through effectively communicating and engaging with stakeholders, across all levels aiming to share information, gather feedback, and maintain positive relationships to achieve common goals and outcomes. Create and deliver effective presentations, driving cohesive decision-making and fostering trust-based collaboration both internally and externally.",Soft Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Associate Director Clinical Governance Operations,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Leadership,"Ability to guide, motivate, and influence others to achieve common goals. Effective leadership involves setting a clear vision, inspiring and empowering team members, making informed decisions, and fostering a collaborative and productive work environment",Soft Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Associate Director Clinical Governance Operations,"Serves as Secretary and/or Moderator for clinical governance decision boards or processes, either for a therapeutic area or specific board. Organizes the relevant governance meetings, oversees the review and decision-making process for clinical study proposals, and ensures compliance with global standards. Additional responsibilities include improving quality processes, coordinating trainings, and facilitating alignment and issue resolution across global, regional, and local teams. Independently leads cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Analytical Skills,"Analytical skills refer to the ability to collect, interpret, analyze, and evaluate data and information to understand complex problems, identify patterns, draw conclusions, and make informed decisions. ",Soft Skill,Expert,5,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Director Clinical Governance Operations,"Leads a clinical governance sub-team and oversees relevant data systems to ensure compliance with pharmaceutical regulations as well as providing expertise on clinical governance topics. Designs and manages assigned governance processes or meetings and maintains relationships with key stakeholder groups (i.e. DU, MU, local/regional Medical Affairs). Provides governance expert advice to ensure audit compliant documentation of decisions and support clinical development of existing or new products. Proposes and oversees cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Governance,"Design, own and execute effective R&D governance processes enabling strategic and tactical decision making in compliance with guidelines and regulations in the Healthcare industry.",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Director Clinical Governance Operations,"Leads a clinical governance sub-team and oversees relevant data systems to ensure compliance with pharmaceutical regulations as well as providing expertise on clinical governance topics. Designs and manages assigned governance processes or meetings and maintains relationships with key stakeholder groups (i.e. DU, MU, local/regional Medical Affairs). Provides governance expert advice to ensure audit compliant documentation of decisions and support clinical development of existing or new products. Proposes and oversees cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Drug Development,"In-depths understanding of clinical development strategies, process requirements, milestones and tactics, as well as planning & execution of clinical trials across all stages of the R&D value chain. Solid business acumen.",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Director Clinical Governance Operations,"Leads a clinical governance sub-team and oversees relevant data systems to ensure compliance with pharmaceutical regulations as well as providing expertise on clinical governance topics. Designs and manages assigned governance processes or meetings and maintains relationships with key stakeholder groups (i.e. DU, MU, local/regional Medical Affairs). Provides governance expert advice to ensure audit compliant documentation of decisions and support clinical development of existing or new products. Proposes and oversees cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Disease biology,"Understanding of disease mechanisms and therapeutic area knowledge in the fields of Oncology, N&I, CM&E , Fertility, rare diseases",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Director Clinical Governance Operations,"Leads a clinical governance sub-team and oversees relevant data systems to ensure compliance with pharmaceutical regulations as well as providing expertise on clinical governance topics. Designs and manages assigned governance processes or meetings and maintains relationships with key stakeholder groups (i.e. DU, MU, local/regional Medical Affairs). Provides governance expert advice to ensure audit compliant documentation of decisions and support clinical development of existing or new products. Proposes and oversees cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Project Management,"Ability to efficiently drive non-drug portfolio projects using PM methodology & tools. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Advanced,4,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Director Clinical Governance Operations,"Leads a clinical governance sub-team and oversees relevant data systems to ensure compliance with pharmaceutical regulations as well as providing expertise on clinical governance topics. Designs and manages assigned governance processes or meetings and maintains relationships with key stakeholder groups (i.e. DU, MU, local/regional Medical Affairs). Provides governance expert advice to ensure audit compliant documentation of decisions and support clinical development of existing or new products. Proposes and oversees cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Communication,"Build seamless partnerships across R&D through effectively communicating and engaging with stakeholders, across all levels aiming to share information, gather feedback, and maintain positive relationships to achieve common goals and outcomes. Create and deliver effective presentations, driving cohesive decision-making and fostering trust-based collaboration both internally and externally.",Soft Skill,Expert,5,,
GPDS,Clinical Governance Operations,"Organize (investment) decision making for pipeline assets and clinical studies, providing framework, policies, and processes to ensure high-quality decision making, safety, and ethical standards in patient care, encompassing clinical leadership, risk management, quality improvement, and regulatory compliance.",Director Clinical Governance Operations,"Leads a clinical governance sub-team and oversees relevant data systems to ensure compliance with pharmaceutical regulations as well as providing expertise on clinical governance topics. Designs and manages assigned governance processes or meetings and maintains relationships with key stakeholder groups (i.e. DU, MU, local/regional Medical Affairs). Provides governance expert advice to ensure audit compliant documentation of decisions and support clinical development of existing or new products. Proposes and oversees cross-functional projects to enhance the capabilities of Clinical Governance Operations and improve decision science at Healthcare R&D.",Leadership,"Ability to guide, motivate, and influence others to achieve common goals. Effective leadership involves setting a clear vision, inspiring and empowering team members, making informed decisions, and fostering a collaborative and productive work environment",Soft Skill,Advanced,4,,
